Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
24,2,74,7,0 - 2,7,0,2,2,Lokomotiv Moscow,Atlético Madrid,0,-2,0.0,1.0
25,2,78,16,0 - 0,16,0,0,0,Racing Genk,Napoli,0,0,,
26,2,44,13,0 - 2,13,0,2,2,Slavia Praha,Borussia Dortmund,0,-2,0.0,1.0
27,2,5,28,4 - 3,5,4,3,7,Liverpool,FC Salzburg,1,1,0.5714285714285714,0.42857142857142855
28,2,3,18,2 - 1,3,2,1,3,FC Barcelona,Internazionale,1,1,0.6666666666666666,0.3333333333333333
29,2,24,27,0 - 2,27,0,2,2,RB Leipzig,Olympique Lyon,0,-2,0.0,1.0
30,2,30,20,3 - 1,30,3,1,4,Zenit St. Petersburg,Benfica,1,2,0.75,0.25
31,2,71,9,1 - 2,9,1,2,3,Lille OSC,Chelsea,0,-1,0.3333333333333333,0.6666666666666666
32,2,63,17,0 - 3,17,0,3,3,Valencia,Ajax,0,-3,0.0,1.0
33,3,21,43,2 - 2,43,2,2,4,Shakhtar Donetsk,Dinamo Zagreb,0,0,0.5,0.5
34,3,7,22,1 - 0,7,1,0,1,Atlético Madrid,Bayer Leverkusen,1,1,1.0,0.0
35,3,31,8,0 - 5,8,0,5,5,Club Brugge,Paris Saint-Germain,0,-5,0.0,1.0
36,3,64,1,0 - 1,1,0,1,1,Galatasaray,Real Madrid,0,-1,0.0,1.0
37,3,41,2,2 - 3,2,2,3,5,Olympiakos Piraeus,Bayern München,0,-1,0.4,0.6
38,3,23,570,5 - 0,23,5,0,5,Tottenham Hotspur,Crvena zvezda,1,5,1.0,0.0
39,3,4,504,5 - 1,4,5,1,6,Manchester City,Atlantas Klaipeda,1,4,0.8333333333333334,0.16666666666666666
40,3,6,74,2 - 1,6,2,1,3,Juventus,Lokomotiv Moscow,1,1,0.6666666666666666,0.3333333333333333
41,3,24,30,2 - 1,24,2,1,3,RB Leipzig,Zenit St. Petersburg,1,1,0.6666666666666666,0.3333333333333333
42,3,17,9,0 - 1,9,0,1,1,Ajax,Chelsea,0,-1,0.0,1.0
43,3,28,16,2 - 3,16,2,3,5,FC Salzburg,Napoli,0,-1,0.4,0.6
44,3,78,5,1 - 4,5,1,4,5,Racing Genk,Liverpool,0,-3,0.2,0.8
45,3,18,13,2 - 0,18,2,0,2,Internazionale,Borussia Dortmund,1,2,1.0,0.0
46,3,44,3,1 - 2,3,1,2,3,Slavia Praha,FC Barcelona,0,-1,0.3333333333333333,0.6666666666666666
47,3,20,27,2 - 1,20,2,1,3,Benfica,Olympique Lyon,1,1,0.6666666666666666,0.3333333333333333
48,3,71,63,1 - 1,63,1,1,2,Lille OSC,Valencia,0,0,0.5,0.5
49,4,3,44,0 - 0,44,0,0,0,FC Barcelona,Slavia Praha,0,0,,
50,4,30,24,0 - 2,24,0,2,2,Zenit St. Petersburg,RB Leipzig,0,-2,0.0,1.0
51,4,16,28,1 - 1,28,1,1,2,Napoli,FC Salzburg,0,0,0.5,0.5
52,4,5,78,2 - 1,5,2,1,3,Liverpool,Racing Genk,1,1,0.6666666666666666,0.3333333333333333
