Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
44,4,Olympiakos Piraeus,FC Barcelona,0 - 0,Barcelona,0,0,0
79,4,Besiktas,AS Monaco,1 - 1,Monaco,1,1,2
55,4,Sevilla,Spartak Moscow,2 - 1,Sevilla,2,1,3
56,4,Liverpool,NK Maribor,3 - 0,Liverpool,3,0,3
67,4,Napoli,Manchester City,2 - 4,Manchester City,2,4,6
68,4,Shakhtar Donetsk,Feyenoord,3 - 1,Shakhtar Donetsk,3,1,4
80,4,FC Porto,RB Leipzig,3 - 1,Porto,3,1,4
91,4,Borussia Dortmund,APOEL Nicosia,1 - 1,APOEL,1,1,2
92,4,Tottenham Hotspur,Real Madrid,3 - 1,Tottenham Hotspur,3,1,4
57,5,Spartak Moscow,NK Maribor,1 - 1,Maribor,1,1,2
81,5,Besiktas,FC Porto,1 - 1,Porto,1,1,2
58,5,Sevilla,Liverpool,3 - 3,Liverpool,3,3,6
69,5,Manchester City,Feyenoord,1 - 0,Manchester City,1,0,1
70,5,Napoli,Shakhtar Donetsk,3 - 0,Napoli,3,0,3
82,5,AS Monaco,RB Leipzig,1 - 4,RB Leipzig,1,4,5
93,5,APOEL Nicosia,Real Madrid,0 - 6,Real Madrid,0,6,6
94,5,Borussia Dortmund,Tottenham Hotspur,1 - 2,Tottenham Hotspur,1,2,3
9,5,CSKA Moscow,Benfica,2 - 0,CSKA Moscow,2,0,2
33,5,Qarabag FK,Chelsea,0 - 4,Chelsea,0,4,4
10,5,FC Basel,Manchester United,1 - 0,Basel,1,0,1
21,5,Anderlecht,Bayern München,1 - 2,Bayern Munich,1,2,3
22,5,Paris Saint-Germain,Celtic,7 - 1,Paris Saint-Germain,7,1,8
34,5,Atlético Madrid,AS Roma,2 - 0,Atlético Madrid,2,0,2
45,5,Juventus,FC Barcelona,0 - 0,Barcelona,0,0,0
46,5,Sporting CP Lisbon,Olympiakos Piraeus,3 - 1,Sporting CP,3,1,4
11,6,Benfica,FC Basel,0 - 2,Basel,0,2,2
12,6,Manchester United,CSKA Moscow,2 - 1,Manchester United,2,1,3
23,6,Bayern München,Paris Saint-Germain,3 - 1,Bayern Munich,3,1,4
24,6,Celtic,Anderlecht,0 - 1,Anderlecht,0,1,1
35,6,Chelsea,Atlético Madrid,1 - 1,Atlético Madrid,1,1,2
36,6,AS Roma,Qarabag FK,1 - 0,Roma,1,0,1
47,6,FC Barcelona,Sporting CP Lisbon,2 - 0,Barcelona,2,0,2
48,6,Olympiakos Piraeus,Juventus,0 - 2,Juventus,0,2,2
59,6,NK Maribor,Sevilla,1 - 1,Sevilla,1,1,2
60,6,Liverpool,Spartak Moscow,7 - 0,Liverpool,7,0,7
71,6,Feyenoord,Napoli,2 - 1,Feyenoord,2,1,3
72,6,Shakhtar Donetsk,Manchester City,2 - 1,Shakhtar Donetsk,2,1,3
83,6,RB Leipzig,Besiktas,1 - 2,Besiktas,1,2,3
84,6,FC Porto,AS Monaco,5 - 2,Porto,5,2,7
95,6,Real Madrid,Borussia Dortmund,3 - 2,Real Madrid,3,2,5
96,6,Tottenham Hotspur,APOEL Nicosia,3 - 0,Tottenham Hotspur,3,0,3
97,Round of 16 - Game 1,Juventus,Tottenham Hotspur,2 - 2,Tottenham Hotspur,2,2,4
98,Round of 16 - Game 1,FC Basel,Manchester City,0 - 4,Manchester City,0,4,4
99,Round of 16 - Game 1,FC Porto,Liverpool,0 - 5,Liverpool,0,5,5
100,Round of 16 - Game 1,Real Madrid,Paris Saint-Germain,3 - 1,Real Madrid,3,1,4
101,Round of 16 - Game 1,Chelsea,FC Barcelona,1 - 1,Barcelona,1,1,2
102,Round of 16 - Game 1,Bayern München,Besiktas,5 - 0,Bayern Munich,5,0,5
103,Round of 16 - Game 1,Sevilla,Manchester United,0 - 0,Manchester United,0,0,0
104,Round of 16 - Game 1,Shakhtar Donetsk,AS Roma,2 - 1,Shakhtar Donetsk,2,1,3
105,Round of 16 - Game 2,Liverpool,FC Porto,0 - 0,Porto,0,0,0
106,Round of 16 - Game 2,Paris Saint-Germain,Real Madrid,1 - 2,Real Madrid,1,2,3
107,Round of 16 - Game 2,Tottenham Hotspur,Juventus,1 - 2,Juventus,1,2,3
108,Round of 16 - Game 2,Manchester City,FC Basel,1 - 2,Basel,1,2,3
109,Round of 16 - Game 2,Manchester United,Sevilla,1 - 2,Sevilla,1,2,3
110,Round of 16 - Game 2,AS Roma,Shakhtar Donetsk,1 - 0,Roma,1,0,1
112,Round of 16 - Game 2,Besiktas,Bayern München,1 - 3,Bayern Munich,1,3,4
111,Round of 16 - Game 2,FC Barcelona,Chelsea,3 - 0,Barcelona,3,0,3
113,Qtr Finals - Game 1,Sevilla,Bayern München,1 - 2,Bayern Munich,1,2,3
114,Qtr Finals - Game 1,Juventus,Real Madrid,0 - 3,Real Madrid,0,3,3
115,Qtr Finals - Game 1,Liverpool,Manchester City,3 - 0,Liverpool,3,0,3
116,Qtr Finals - Game 1,FC Barcelona,AS Roma,4 - 1,Barcelona,4,1,5
117,Qtr Finals - Game 2,Manchester City,Liverpool,1 - 2,Liverpool,1,2,3
118,Qtr Finals - Game 2,AS Roma,FC Barcelona,3 - 0,Roma,3,0,3
119,Qtr Finals - Game 2,Bayern München,Sevilla,0 - 0,Sevilla,0,0,0
120,Qtr Finals - Game 2,Real Madrid,Juventus,1 - 3,Juventus,1,3,4
121,Semi Finals - Game 1,Liverpool,AS Roma,5 - 2,Liverpool,5,2,7
122,Semi Finals - Game 1,Bayern München,Real Madrid,1 - 2,Real Madrid,1,2,3
123,Semi Finals - Game 2,Real Madrid,Bayern München,2 - 2,Bayern Munich,2,2,4
124,Semi Finals - Game 2,AS Roma,Liverpool,4 - 2,Roma,4,2,6
125,Final,Real Madrid,Liverpool,3 - 1,Real Madrid,3,1,4
